Exp or Imp,Year,Commodity,Unit,Quantity-Year,Value-Year,Quantity-Jan,Value-Jan,Quantity-Feb,Value-Feb,Quantity-Mar,Value-Mar,Quantity-Apr,Value-Apr,Quantity-May,Value-May,Quantity-Jun,Value-Jun,Quantity-Jul,Value-Jul,Quantity-Aug,Value-Aug,Quantity-Sep,Value-Sep,Quantity-Oct,Value-Oct,Quantity-Nov,Value-Nov,Quantity-Dec,Value-Dec
2,2023,'21103   ',MT,1084,1396876,640,786694,444,610182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2110301 ',KG,161,410,0,0,161,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2110303 ',MT,359,234394,200,111039,159,123355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'21105   ',MT,5,66984,5,59024,0,7960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'21107   ',MT,28,176424,9,68084,19,108340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'21109   ',MT,9103,2646057,4233,1260069,4870,1385988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2110901 ',MT,5963,2040400,2587,925011,3376,1115389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2110903 ',MT,1438,155864,721,81676,717,74188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2110905 ',MT,1604,387719,857,211726,747,175993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'21111   ',MT,138,59598,102,45866,36,13732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2111103 ',MT,78,45852,68,38812,10,7040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'213     ',MT,2629363,37197684,1352874,20393586,1276489,16804098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'21301   ',MT,29283,1418958,20278,906303,9005,512655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'21303   ',MT,2600080,35778726,1332596,19487283,1267484,16291443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2130301 ',MT,463689,4160174,229698,2134257,233991,2025917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'21303011',MT,837,83457,529,38466,308,44991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'21303013',MT,78452,890436,74499,739280,3953,151156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2130303 ',GR,8230050,961314,4891200,499362,3338850,461952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2130305 ',MT,550808,9940968,315407,6054862,235401,3886106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2130307 ',MT,982786,8088026,434476,3982269,548310,4105757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2130311 ',MT,21037,948092,11524,534951,9513,413141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2130313 ',MT,6192,472839,5849,442986,343,29853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'215     ',MT,18071144,770944496,10368467,425603546,7702677,345340950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'21501   ',MT,16521356,240348789,9568015,140891315,6953341,99457474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'21503   ',MT,14607,5290594,6927,2831061,7680,2459533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'21505   ',MT,1447354,380242465,745264,202894938,702090,177347527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2150501 ',MT,801118,244243839,414813,131318869,386305,112924970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2150503 ',MT,189691,2954328,109065,1692020,80626,1262308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2150507 ',MT,6323,1954112,5920,1843931,403,110181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2150509 ',MT,91072,12706339,38117,5020613,52955,7685726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2023,'2150511 ',MT,221090,5969828,110060,2783229,111030,3186599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
